parliament,constituency,constituency_old_name,winner,winner_coalition,winner_party,votes_winner,votes_winner_pct,opponent,opponent_coalition,opponent_party,votes_opponent,votes_opponent_pct,majority,incumbent,incumbent_coalition,incumbent_party,eligible_voters,voter_turnout,voter_turnout_pct,spoilt_votes,spoilt_votes_pct,parliament_number,state,parliament_status,incumbent_contesting
P190,Tawau,NA,Christina Liew Chin Jin  ,PH,PKR,21400,35.7,Mary Yap Kain Ching  ,BN,PBS,16673,27.8,4727,Mary Yap Kain Ching  ,BN,PBS,59919,43861,73.2,1108,73.2,190,Sabah,Government,Yes
P190,Tawau,NA,Christina Liew Chin Jin  ,PH,PKR,21400,35.7,Mohamad Husain   ,GS,PAS,2518,4.2,4727,Mary Yap Kain Ching  ,BN,PBS,59919,43861,73.2,1108,73.2,190,Sabah,Government,Yes
P190,Tawau,NA,Christina Liew Chin Jin  ,PH,PKR,21400,35.7,Alizaman Jijurahman  ,USA,PHRS,2162,3.6,4727,Mary Yap Kain Ching  ,BN,PBS,59919,43861,73.2,1108,73.2,190,Sabah,Government,Yes
P191,Kalabakan,NA,Ma'mun Sulaiman  ,PH,WARISAN,18486,35.4,Abdul Ghapur Salleh  ,BN,UMNO,15299,29.3,3187,Abdul Ghapur Salleh  ,BN,UMNO,52182,38041,72.9,1132,72.9,191,Sabah,Government,Yes
P191,Kalabakan,NA,Ma'mun Sulaiman  ,PH,WARISAN,18486,35.4,Norbin Aloh  ,GS,PAS,2813,5.4,3187,Abdul Ghapur Salleh  ,BN,UMNO,52182,38041,72.9,1132,72.9,191,Sabah,Government,Yes
P191,Kalabakan,NA,Ma'mun Sulaiman  ,PH,WARISAN,18486,35.4,Ahmad Lahama  ,USA,PPRS,311,0.6,3187,Abdul Ghapur Salleh  ,BN,UMNO,52182,38041,72.9,1132,72.9,191,Sabah,Government,Yes
P192,Mas Gading,NA,Mordi Bimol  ,PH,DAP,12771,43.1,Anthony Nogeh Gumbek  ,BN,PDP,9747,32.9,3024,Anthony Nogeh Gumbek  ,BN,PDP,29600,22822,77.1,304,77.1,192,Sarawak,Government,Yes
P193,Santubong,NA,Wan Junaidi Tuanku Jaafar  ,BN,PBB,26379,57.8,Mohamad Fidzuan Zaidi  ,PH,PAN,6894,15.1,19485,Wan Junaidi Tuanku Jaafar  ,BN,PBB,45644,33868,74.2,595,74.2,193,Sarawak,Opposition,Yes
P194,Petra Jaya,NA,Fadillah Yusof  ,BN,PBB,28306,48.9,Nor Irwan Ahmat Nor  ,PH,PKR,13289,22.9,15017,Fadillah Yusof  ,BN,PBB,57940,43513,75.1,568,75.1,194,Sarawak,Opposition,Yes
P194,Petra Jaya,NA,Fadillah Yusof  ,BN,PBB,28306,48.9,Hamdan Sani  ,GS,PAS,1350,2.3,15017,Fadillah Yusof  ,BN,PBB,57940,43513,75.1,568,75.1,194,Sarawak,Opposition,Yes
P195,Bandar Kuching,NA,Kelvin Yii Lee Wuen ,PH,DAP,48548,59.3,Kho Teck Wan  ,BN,SUPP,12575,15.4,35973,Chong Chieng Jen  ,PH,DAP,81868,61483,75.1,360,75.1,195,Sarawak,Government,No
P196,Stampin,NA,Chong Chieng Jen  ,PH,DAP,33060,49.9,Sim Kui Hian  ,BN,SUPP,18839,28.4,14221,Julian Tan Kok Ping  ,PH,DAP,66267,52550,79.3,651,79.3,196,Sarawak,Government,No
