parliament,constituency,winner,winner_coalition,winner_party,votes_winner,votes_winner_pct,opponent,opponent_coalition,opponent_party,votes_opponent,votes_opponent_pct,majority,incumbent,incumbent_coalition,incumbent_party,eligible_voters,malay_voters_pct,chinese_voters_pct,indian_voters_pct,other_voters_pct,muslim_bumiputera_voters_pct,nonmuslim_bumiputera_voters_pct,voter_turnout,voter_turnout_pct,spoilt_votes,spoilt_votes_pct,parliament_number,state,parliament_status,incumbent_contesting
P138,Kota Melaka,Sim Tong Him,PR,DAP,38640,57.3,Wong Nai Chee,BN,MCA,27250,40.4,11390,Wong Nai Chee,BN,MCA,84805,33,62,3,NA,NA,NA,67479,79.6,1448,2.2,138,Melaka,Opposition,Yes
P139,Jasin,Ahmad Hamzah,BN,UMNO,27838,63,Zulkefly Othman,PR,PKR,15348,34.7,12490,Mohammad Said Yusof,BN,UMNO,56121,71,16,3,NA,NA,NA,44181,78.7,990,2.2,139,Melaka,Government,No
P140,Segamat,Subramaniam Sathasivam,BN,MIC,15921,53.6,Pang Hok Liong,PR,DAP,12930,43.5,2991,Subramaniam Sathasivam,BN,MIC,40708,41,48,11,NA,NA,NA,29699,73,847,2.9,140,Johor,Government,Yes
P141,Sekijang,Baharum Mohamed,BN,UMNO,17979,67.3,Zulkaply Salleh,PR,PKR,8112,30.4,9867,Baharum Mohamed,BN,UMNO,35138,55,40,5,NA,NA,NA,26716,76,622,2.3,141,Johor,Government,Yes
P142,Labis,Chua Tee Yong,BN,MCA,13658,56.7,Teo Eng Ching,PR,DAP,9564,39.7,4094,Chua Soi Lek,BN,MCA,33468,37,48,15,NA,NA,NA,24080,72,816,3.4,142,Johor,Government,No
P143,Pagoh,Muhyiddin Yassin,BN,UMNO,21028,69.4,Mohamad Rozali Jamil,PR,PAS,8447,27.9,12581,Muhyiddin Yassin,BN,UMNO,40042,63,33,4,NA,NA,NA,30313,75.7,786,2.6,143,Johor,Government,Yes
P144,Ledang,Hamim Samuri,BN,UMNO,25319,56.8,Lee Fu Haw,PR,DAP,17702,39.7,7617,Hamim Samuri,BN,UMNO,58501,53,43,4,NA,NA,NA,44556,76.2,1433,3.2,144,Johor,Government,Yes
P145,Bakri,Er Teck Hwa,PR,DAP,21051,48.8,Tay Puay Chuan,BN,MCA,20329,47.1,722,Chua Jui Meng,BN,MCA,56372,43,54,2,NA,NA,NA,43155,76.6,1561,3.6,145,Johor,Opposition,No
P146,Muar,Razali Ibrahim,BN,UMNO,16986,56.1,Nah Budin,PR,PKR,12325,40.7,4661,Razali Ibrahim,BN,UMNO,41019,62,36,2,NA,NA,NA,30275,73.8,902,3,146,Johor,Government,Yes
P147,Parit Sulong,Noraini Ahmad,BN,UMNO,26066,65.8,Faisal Ali,PR,PAS,12467,31.5,13599,Syed Hood Syed Edros,BN,UMNO,50234,73,26,NA,NA,NA,NA,39637,78.9,1033,2.6,147,Johor,Government,No
P148,Ayer Hitam,Wee Ka Siong,BN,MCA,20230,73.6,Hussin Sujak,PR,PAS,6321,23,13909,Wee Ka Siong,BN,MCA,34805,57,39,4,NA,NA,NA,27488,79,907,3.3,148,Johor,Government,Yes
P149,Sri Gading,Mohamad Aziz,BN,UMNO,19641,67.1,Ali Markom,PR,PKR,8767,30,10874,Mohamad Aziz,BN,UMNO,36845,65,33,NA,NA,NA,NA,29266,79.4,738,2.5,149,Johor,Government,Yes
P150,Batu Pahat,Mohd Puad Zarkashi,BN,UMNO,32593,60.2,Muhammad Abdullah,PR,PKR,19625,36.3,12968,Junaidy Abd Wahab,BN,UMNO,70069,53,46,NA,NA,NA,NA,54103,77.2,1768,3.3,150,Johor,Government,No
P151,Simpang Renggam,Liang Teck Meng,BN,Gerakan,16450,63.3,Atan Gombang,PR,PAS,8597,33.1,7853,Kerk Choo Ting,BN,Gerakan,34859,54,36,10,NA,NA,NA,25998,74.6,924,3.6,151,Johor,Government,No
P152,Kluang,Hou Kok Chung,BN,MCA,27970,51.3,Ng Lam Hua,PR,DAP,24189,44.3,3781,Hoo Seong Chang,BN,MCA,71233,38,52,9,NA,NA,NA,54567,76.6,1884,3.5,152,Johor,Government,No
P153,Sembrong,Hishammuddin Hussein,BN,UMNO,17988,71.3,Lee Sang,PR,PKR,6418,25.5,11570,Hishammuddin Hussein,BN,UMNO,33181,54,36,10,NA,NA,NA,25211,76,739,2.9,153,Johor,Government,Yes
P154,Mersing,Abdul Latiff Ahmad,BN,UMNO,20116,73,Shahar Abdullah,PR,PAS,6380,23.2,13736,Abdul Latiff Ahmad,BN,UMNO,36445,79,19,NA,NA,NA,NA,27548,75.6,857,3.1,154,Johor,Government,Yes
P155,Tenggara,Halimah Mohamed Sadique,BN,UMNO,19031,75.1,Salleh Farmin,PR,PAS,4982,19.7,14049,Adham Baba,BN,UMNO,32297,75,18,7,NA,NA,NA,25349,78.5,1336,5.3,155,Johor,Government,No
P156,Kota Tinggi,Syed Hamid Albar,BN,UMNO,22682,83.7,Onn Jaafar,PR,PAS,3721,13.7,18961,Syed Hamid Albar,BN,UMNO,34190,84,13,2,NA,NA,NA,27109,79.3,653,2.4,156,Johor,Government,Yes
P157,Pengerang,Azalina Othman Said,BN,UMNO,0,NA,Unopposed,NA,NA,0,NA,0,Azalina Othman Said,BN,UMNO,33002,87,12,NA,NA,NA,NA,NA,NA,NA,NA,157,Johor,Government,Yes
P158,Tebrau,Teng Boon Soon,BN,MCA,30860,63.5,Roslaini Sarif,PR,PAS,16202,33.3,14658,Teng Boon Soon,BN,MCA,62505,49,37,13,NA,NA,NA,48587,77.7,1525,3.1,158,Johor,Government,Yes
P159,Pasir Gudang,Mohamed Khaled Nordin,BN,UMNO,35849,64.1,Md Rizan Mohd Saman,PR,PKR,18568,33.2,17281,Mohamed Khaled Nordin,BN,UMNO,72862,48,40,11,NA,NA,NA,55891,76.7,1211,2.2,159,Johor,Government,Yes
P160,Johor Bahru,Shahrir Abdul Samad,BN,UMNO,43143,69.1,Hassan Abdul Karim,NA,PRM,17794,28.5,25349,Shahrir Abdul Samad,BN,UMNO,89725,51,44,5,NA,NA,NA,62440,69.6,1391,2.2,160,Johor,Government,Yes
P161,Pulai,Nur Jazlan Mohamed,BN,UMNO,38036,66.9,Abdullah Ideris,PR,PAS,17587,30.9,20449,Nur Jazlan Mohamed,BN,UMNO,79622,51,40,9,NA,NA,NA,56863,71.4,1079,1.9,161,Johor,Government,Yes
P162,Gelang Patah,Tan Ah Eng,BN,MCA,33630,55.4,Zaliha Mustafa,PR,PKR,24779,40.8,8851,Tan Ah Eng,BN,MCA,78676,34,54,12,NA,NA,NA,60728,77.2,2244,3.7,162,Johor,Government,Yes
P163,Kulai,Ong Ka Ting,BN,MCA,32017,59.6,Ng Pak Siong,PR,DAP,20273,37.8,11744,Lim Si Cheng,BN,MCA,67358,32,59,9,NA,NA,NA,53676,79.7,1327,2.5,163,Johor,Government,No
P164,Pontian,Ahmad Maslan,BN,UMNO,23121,70.5,Mohd Annuar Mohd Salleh,PR,PKR,8677,26.4,14444,Hasni Mohamad,BN,UMNO,43264,68,31,NA,NA,NA,NA,32806,75.8,1008,3.1,164,Johor,Government,No
P165,Tanjong Piai,Wee Jeck Seng,BN,MCA,23302,65.5,Ahmad Ton,PR,DAP,10931,30.7,12371,Ong Ka Ting,BN,MCA,45701,50,49,NA,NA,NA,NA,35564,77.8,1117,3.1,165,Johor,Government,No
P166,Labuan,Yussof Mahal,BN,UMNO,10471,74,Lau Seng Kiat,NA,IND,2014,14.2,8457,Suhaili Abdul Rahman,BN,UMNO,20783,37,25,NA,36,NA,NA,14149,68.1,311,2.2,166,Labuan,Government,No
P166,Labuan,Yussof Mahal,BN,UMNO,10471,74,Matusin Abdul Rahman,PR,PAS,1106,7.8,8457,Suhaili Abdul Rahman,BN,UMNO,20783,37,25,NA,36,NA,NA,14149,68.1,311,2.2,166,Labuan,Government,No
P167,Kudat,Abdul Rahim Bakri,BN,UMNO,17634,66.4,Yahya Othman,PR,PKR,7739,29.1,9895,Abdul Rahim Bakri,BN,UMNO,39643,NA,15,NA,NA,54,31,26551,67,1058,4,167,Sabah,Government,Yes
P168,Kota Marudu,Maximus Johnity Ongkili,BN,PBS,12028,54.2,Anthony Mandiau,PR,PKR,7830,35.3,4198,Maximus Johnity Ongkili,BN,PBS,31938,NA,3,NA,NA,27,70,22199,69.5,748,3.4,168,Sabah,Government,Yes
P168,Kota Marudu,Maximus Johnity Ongkili,BN,PBS,12028,54.2,Roslan Mohd Zain,NA,IND,1109,5,4198,Maximus Johnity Ongkili,BN,PBS,31938,NA,3,NA,NA,27,70,22199,69.5,748,3.4,168,Sabah,Government,Yes
