"","state","seat","undi_keluar_peti","undi_dalam_peti","undi_tak_kembali","undi_tolak","majoriti","peratus_keluar","undi_rosak","pengundi_jumlah","pengundi_tidak_hadir","rosak_vs_keseluruhan","rosak_vs_majoriti","tidakhadir_vs_majoriti"
"112","Selangor","P.112 Kuala Langat",89437,89228,209,1131,17112,87.30000305,1340,102447,13010,1.49826134597538,7.83076203833567,76.028517999065
"113","Selangor","P.113 Sepang",92087,91740,347,1083,18705,88.09999847,1430,104525,12438,1.55287934236103,7.64501470195135,66.495589414595
"114","W.P. Kuala Lumpur","P.114 Kepong",61812,61727,85,323,51628,85,408,72720,10908,0.66006600660066,0.790268846362439,21.1280700395134
"115","W.P. Kuala Lumpur","P.115 Batu",63600,63303,297,498,24438,83.30000305,795,76350,12750,1.25,3.2531303707341,52.1728455683771
"116","W.P. Kuala Lumpur","P.116 Wangsa Maju",74509,74133,376,525,24238,84.19999695,901,88490,13981,1.20924988927512,3.71730340787194,57.6821519927387
"117","W.P. Kuala Lumpur","P.117 Segambut",65265,65016,249,289,45702,83.69999695,538,77974,12709,0.824331571286294,1.17719137018074,27.8084110104591
"118","W.P. Kuala Lumpur","P.118 Setiawangsa",61884,61191,339,693,14372,85.80000305,1032,72125,10241,1.66763622261004,7.18062900083496,71.2566100751461
"119","W.P. Kuala Lumpur","P.119 Titiwangsa",50858,50709,149,323,4139,82.59999847,472,61571,10713,0.928074245939675,11.4037207054844,258.830635419183
"120","W.P. Kuala Lumpur","P.120 Bukit Bintang",52765,52662,103,254,37260,75.90000153,357,69519,16754,0.676584857386525,0.958132045088567,44.9651100375738
"121","W.P. Kuala Lumpur","P.121 Lembah Pantai",67059,66843,216,538,5598,83.5,754,80310,13251,1.12438300600963,13.4690961057521,236.709539121115
"122","W.P. Kuala Lumpur","P.122 Seputeh",70583,70423,160,294,56059,81.80000305,454,86287,15704,0.64321437173257,0.809861039262206,28.0133430849641
"123","W.P. Kuala Lumpur","P.123 Cheras",64074,63952,122,275,49665,81.30000305,397,78811,14737,0.619596092018603,0.799355683076613,29.6728078123427
"124","W.P. Kuala Lumpur","P.124 Bandar Tun Razak",71180,70650,530,444,19930,85.09999847,974,83642,12462,1.36836189940995,4.88710486703462,62.5288509784245
"125","W.P. Putrajaya","P.125 Putrajaya",24881,24704,177,146,3372,91.09999847,323,27311,2430,1.29817933362807,9.57888493475682,72.0640569395018
